group,regroup
Anti-Abortion extremists,Anti-Abortion extremists
Anti-Arab extremists,Anti-Muslim extremists
Anti-Government extremists,Anti-Government extremists
Anti-LGBT extremists,Anti-LGBT extremists
Anti-Muslim extremists,Anti-Muslim extremists
Anti-Semitic extremists,Anti-Semitic extremists
Anti-Sikh extremists,Anti-Sikh extremists
Anti-White extremists,Anti-White extremists
Atomwaffen,Atomwaffen
Atomwaffen Division,Atomwaffen
Azov Battalion,Azov Battalion
Boogaloo,Boogaloo
Citizens for Constitutional Freedom,Citizens for Constitutional Freedom
III%,III%
Incel,Incel
Incel extremists,Incel
KKK,KKK
KKK: Ku Klux Klan,KKK
Ku Klux Klan,KKK
Ku Klux Klan (KKK),KKK
Neo-Nazi extremists,Nazis
Patriot Prayer,Patriot Prayer
Proud Boys,Proud Boys
QAnon,QAnon
Republic for the United States of America,Republic for the United States of America
Right-wing extremists,Right-wing extremists
Rise Above Movement,Rise Above Movement
Sovereign Citizen,Sovereign Citizen
The Base,The Base
The Crusaders,The Crusaders
Unknown,Unknown
White Aryan Resistance,White Aryan Resistance
White extremist,White extremist
White extremists,White extremist
White Rabbit Three Percent Illinois Patriot Freedom Fighters Militia,White Rabbit Three Percent Illinois Patriot Freedom Fighters Militia
Wolverine Watchmen,Wolverine Watchmen
