Year_csis,Month_csis,Day_csis,State_csis,City_csis,Orientation_csis,vict_killed_csis,LE_status_csis,MIL_status_csis,Target_csis,Weapon_csis,Lat_csis,Long_csis,type_extremism_1,type_extremism_2,victim_category,victim_specific1,victim_specific2,susp_total,susp_hometown,susp_social_media_use
2021,1,15,California,Napa,Violent Far-right,0,,,"Government, Military, and Police",Explosives and Incendiaries,38.2975,-122.2869,anti government,anti left,group,government,left,1,"Napa, CA",various
2021,1,12,New York,New York - Queens,Violent Far-right,0,,,"Government, Military, and Police",Firearms,40.731,-73.796,white supremacist,anti government,group,government,,1,"New York, NY",parler
2021,1,4,New York,New York - Queens,Violent Far-right,0,,,Business,Explosives and Incendiaries,40.731,-73.796,white supremacist,anti semitic,individual,BLM,,1,"Lyne, MA",various
2021,1,25,Washington,Tacoma,Violent Far-left,0,,,"Government, Military, and Police",Explosives and Incendiaries,47.253,-122.444,,,,,,,,
2021,1,20,Washington,Seattle,Violent Far-left,0,,,Business,Melee,47.606,-122.333,,,,,,,,
2021,1,19,Georgia,Fort Stewart,Religious,0,,Active,"Government, Military, and Police",Explosives and Incendiaries,31.872,-81.61,,,,,,,,
2021,1,10,Rhode Island,Providence,Violent Far-left,0,,,Business,Other,41.824,-71.412,,,,,,,,
2021,1,6,Kentucky,Louisville,Other,0,,,Demonstrators,Firearms,38.254,-85.759,,,,,,,,
2021,1,6,California,Los Gatos,Violent Far-left,0,,,Demonstrators,Other,37.236,-121.963,,,,,,,,
2021,1,6,District of Columbia,Washington DC,Violent Far-right,1,Active,"Active, Reserve, Veteran","Government, Military, and Police",Multiple,38.917,-77,white supremacist,stop the steal,government building,government,police,200,,
2021,1,6,District of Columbia,Washington DC,Violent Far-right,0,,,"Government, Military, and Police",Explosives and Incendiaries,38.917,-77,anti government,stop the steal,group,government,,,,
2021,1,6,Florida,Winter Haven,Violent Far-right,0,Active,,"Government, Military, and Police",Threats or Hoaxes,28.022,-81.733,anti government,,group,government,,1,"Winter Haven, FL",
2021,1,6,Washington,Olympia,Violent Far-right,0,,,"Government, Military, and Police",Threats or Hoaxes,47.036,-122.905,stop the steal,anti semitic,group,government,media,1,"Seattle, WA",
2021,1,7,Michigan,Charlotte,Violent Far-right,0,,,"Government, Military, and Police",Threats or Hoaxes,42.564,-84.836,stop the steal,,group,government,media,1,"Charlotte, Michigan",
2021,1,8,Oregon,Portland,Violent Far-right,0,,Active,"Government, Military, and Police",Firearms,45.523,-122.676,stop the steal,,group,government,media,1,,
2021,1,26,California,Napa,Violent Far-right,0,,,"Government, Military, and Police",Firearms,38.297,-122.287,anti government,anti left,group,government,left,,,
2021,1,27,District of Columbia,Washington DC,Violent Far-right,0,,,"Government, Military, and Police",Firearms,38.917,-77,stop the steal,,group,government,left,1,,
2020,9,30,Oregon,Portland,Violent Far-right,0,,,Demonstrators,Firearms,45.523,-122.676,white supremacist,,demonstration,social justice,BLM,1,,various
2020,11,10,New York,Staten Island,Violent Far-right,0,,,"Government, Military, and Police",Threats and Hoaxes,40.5795,-74.1502,stop the steal,,group,BLM,,1,"Staten Island, VA",various
2020,7,19,New Jersey,North Brunswick,Violent Far-right,1,,,"Government, Military, and Police",Firearms,40.467,-74.457,other,,individual,women,,1,"New York, NY",webpage
2020,3,19,New Mexico,Kirtland Air Force Base,Violent Far-right,0,,Active,Unknown,Firearms,35.054,-106.5339,other,,,,,1,"Albuquerque, NM",
2020,5,31,Illinois,Bloomington,Violent Far-right,0,,,Demonstrators,Vehicle,40.484,-88.994,white supremacist,anti blm,demonstration,social justice,BLM,1,"Bloomington, IL",
2020,6,3,Virginia,Abingdon,Violent Far-right,0,,,Private Individuals,Explosives and Incendiaries,36.7098,-81.9773,incel,,group,women,,1,"Abingdon, VA",
2020,6,6,New York,Babylon,Violent Far-right,0,,,Demonstrators,Vehicle,40.6956552,-73.3256753,anti blm,,demonstration,social justice,BLM,,,
2020,6,29,California,Torrance,Violent Far-right,0,,,Private Individuals,Vehicle,33.834,-118.342,white supremacist,,group,black,,1,"Redondo Beach, CA",
2020,7,25,Texas,Austin,Violent Far-right,1,,Active,Demonstrators,Firearms,30.275,-97.74,anti blm,anti police,demonstration,social justice,BLM,1,"Fort Hood, TX",twitter
2020,6,7,Virginia,Henrico,Violent Far-right,0,,,Demonstrators,Vehicle,37.458,-77.296,white supremacist,anti blm,demonstration,social justice,BLM,1,"Richmond, VA",facebook
2020,5,31,California,Pasadena,Violent Far-right,0,,,Demonstrators,Vehicle,34.142,-118.15,white supremacist,anti blm,demonstration,social justice,BLM,1,"San Gabriel Valley, CA",various
2020,11,5,Pennsylvania,Philadelphia,Violent Far-right,0,,Veteran,"Government, Military, and Police",Firearms,39.952,-75.164,stop the steal,conspiracy theorist,group,government,,2,"Chesapeake, VA",various
2020,5,8,Ohio,Cleveland,Violent Far-right,0,,,"Government, Military, and Police",Firearms,41.5,-81.6667,anti police,anti government,individual,government,police,1,"Cleveland, OH",various
2020,8,8,Oregon,Portland,Violent Far-right,0,,,Demonstrators,Explosives and Incendiaries,45.523,-122.676,anti blm,,demonstration,social justice,BLM,1,"Happy Valley, OR",various
2020,5,20,Arizona,Glendale,Violent Far-right,0,,,Private Individuals,Firearms,33.5387,-112.186,incel,,individual,women,,1,"Glendale, AZ",snapchat
2020,2,25,Washington,Seattle,Violent Far-right,0,,,Journalists and Media,Other,47.6062,-122.332,white supremacist,,group,jewish,media,4,"Redmond, WA - Montgomery, TX - Spring Hill, FL - Queen Creek, AZ",various
2020,4,29,New York,New York,Violent Far-right,0,,,"Government, Military, and Police",Melee,40.7128,-74.006,conspiracy theorist,,individual,government,,1,"Peoria, IL",facebook
