GEOID,protests_left_wing,attendance_left_wing,protests_right_wing,attendance_right_wing,protests_pro_pan_int,attendance_pro_pan_int,protests_ant_pan_int,attendance_ant_pan_int,protests_racial_just,attendance_racial_just,protests_pro_trump,attendance_pro_trump,protests_ant_trump,attendance_ant_trump
01015,4,120,,,,,,,4,120,,,,
01019,1,125,,,,,,,1,125,,,,
01021,1,0,,,,,,,1,0,,,,
01029,1,100,,,,,,,1,100,,,,
01033,1,0,,,,,,,1,0,,,,
01043,1,30,,,,,,,1,30,,,,
01047,3,30,,,,,,,3,30,,,,
01055,4,300,2,0,,,,,4,300,1,0,,
01069,2,100,,,,,,,2,100,,,,
01073,18,645,2,20,1,0,,,14,620,1,20,1,5
01077,13,120,3,0,,,,,11,120,,,,
01079,1,300,,,,,,,1,300,,,,
01081,6,1350,1,0,,,,,5,1350,1,0,1,0
01083,1,100,1,20,,,1,20,1,100,,,,
01089,9,280,3,75,,,1,20,8,280,2,55,1,0
01095,4,20,1,0,,,,,4,20,,,,
01097,12,1330,4,20,,,,,8,1310,2,0,,
01101,18,820,5,180,1,0,4,160,12,725,1,20,,
01103,1,400,,,,,,,1,400,,,,
01109,1,0,,,,,,,1,0,,,,
01113,1,0,,,,,,,1,0,,,,
01125,5,1100,,,,,,,5,1100,,,,
02020,13,2433,8,401,1,0,3,121,10,2413,1,50,,
02050,1,0,,,,,,,1,0,,,,
02068,1,50,,,,,,,1,50,,,,
02090,2,500,,,,,,,2,500,,,,
02100,1,0,,,,,,,1,0,,,,
02110,7,870,2,60,,,,,2,650,1,10,,
02130,2,105,,,,,,,1,5,,,,
02150,2,200,,,,,,,2,200,,,,
02170,2,100,2,0,,,,,1,100,,,,
02188,1,0,,,,,,,1,0,,,,
02220,1,0,,,,,,,1,0,,,,
02261,1,60,1,0,,,,,1,60,1,0,,
04001,1,0,,,,,,,,,,,,
04003,9,570,1,0,,,,,4,470,,,,
04005,6,1140,,,,,,,4,1100,,,,
04007,2,114,,,,,,,2,114,,,,
04013,91,14484,37,10191,1,4,18,1390,60,11235,10,4726,2,700
04015,4,150,9,180,,,5,30,2,150,3,50,,
